Agency ID ,Agency Code,Center,Center Search Status,Facility,Occupied,Status,URL Link,Record Date,Last Update,Address,City,State,ZIP,Country,Contact,Mail Stop,Phone
1,DOD,Air Force Research Laboratory,Public,"Mach 6, High Reynolds Number Facility",1960,Under Rehabilitation,,01/03/1996,09/09/2013,1864 4th St,Wright-Patterson AFB,OH,45433-7541,US,Mr. Chris Love,B015,937 255-1689
2,DOD,Air Force Research Laboratory,Public,Subsonic Aerodynamic Research Laboratory,1985,Active,,01/03/1996,09/09/2013,1864 4th St,Wright-Patterson AFB,OH,45433-7541,US,Mr. Chris Love,B015,937 255-1689
3,DOD,Air Force Research Laboratory,Public,Trisonic Gasdynamics Facility,1960,Active,,01/03/1996,09/09/2013,1864 4th St,Wright-Patterson AFB,OH,45433-7541,US,Mr. Chris Love,B015,937 255-1689
4,DOD,Air Force Research Laboratory,Public,Vertical Wind Tunnel,1960,Active,,01/03/1996,09/09/2013,1864 4th St,Wright-Patterson AFB,OH,45433-7541,US,Mr. Chris Love,B015,937 255-1689
5,DOD,Arnold Engineering Development Center,Public,10V Test Chamber,1965,Active,http://www.arnold.af.mil/library/factsheets/factsheet.asp?id=13106,01/03/1996,23/08/2013,"100 Kindel Dr, MS-1214",Arnold AFB,TN,37389-1214,US,Capabilities Integration Division,AEDC/XPR,(931) 454-6513
6,DOD,Arnold Engineering Development Center,Public,7V Sensor Test Facility,1994,Active,http://www.arnold.af.mil/library/factsheets/factsheet.asp?id=12978,01/03/1996,19/09/2012,"100 Kindel Dr, MS-1214",Arnold AFB,TN,37389-1214,US,Capabilities Integration Division,AEDC/XPR,(931) 454-6513
7,DOD,Arnold Engineering Development Center,Public,Mark I Aerospace Chamber,1963,Inactive,http://www.arnold.af.mil/library/factsheets/factsheet.asp?id=13114,01/03/1996,19/09/2012,"100 Kindel Dr, MS-1214",Arnold AFB,TN,37389-1214,US,Capabilities Integration Division,AEDC/XPR,(931) 454-6513
8,DOE,Pacific Northwest National Laboratory,Public,Atmospheric Measurements Laboratory,,Active,http://www.pnnl.gov/atmospheric/programs/atmos_measurement_lab.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
9,DOE,Pacific Northwest National Laboratory,Public,Atmospheric Radiation Measurement Climate Research Facility,,Active,http://www.pnnl.gov/atmospheric/programs/arm.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
10,DOE,Pacific Northwest National Laboratory,Public,Atmospheric Research Measurement Aerial Facility,,Active,http://www.pnnl.gov/atmospheric/programs/arm_aerial_vehicle_prog.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
11,DOE,Pacific Northwest National Laboratory,Public,Biological Sciences Facility,,Active,www.pnnl.gov,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
12,DOE,Pacific Northwest National Laboratory,Public,Bioproducts Sciences and Engineering Laboratory,,Active,http://www.pnnl.gov/biobased/bsel.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
13,DOE,Pacific Northwest National Laboratory,Public,Environmental and Molecular Sciences Laboratory,,Active,http://www.emsl.pnnl.gov/emslweb/,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
14,DOE,Pacific Northwest National Laboratory,Public,Joint Global Change Research Institute,,Active,http://www.pnnl.gov/atmospheric/programs/jgcri.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
