Rank,Rating,Movie
1, 9.3/10 ,The Shawshank Redemption    (1994)
2, 9.2/10 ,The Godfather    (1972)
3, 9.0/10 ,The Godfather: Part II    (1974)
4, 9.0/10 ,The Dark Knight    (2008)
5, 8.9/10 ,12 Angry Men    (1957)
6, 8.9/10 ,Pulp Fiction    (1994)
7, 8.9/10 ,Schindler's List    (1993)
8, 8.9/10 ,The Lord of the Rings: The Return of the King    (2003)
9, 8.9/10 ,"The Good, the Bad and the Ugly    (1966)"
10, 8.9/10 ,Fight Club    (1999)
11, 8.8/10 ,The Lord of the Rings: The Fellowship of the Ring    (2001)
12, 8.8/10 ,Inception    (2010)
13, 8.8/10 ,Star Wars: Episode V - The Empire Strikes Back    (1980)
14, 8.8/10 ,Forrest Gump    (1994)
15, 8.7/10 ,The Lord of the Rings: The Two Towers    (2002)
16, 8.7/10 ,One Flew Over the Cuckoo's Nest    (1975)
17, 8.7/10 ,Goodfellas    (1990)
18, 8.7/10 ,Seven Samurai    (1954)
19, 8.7/10 ,The Matrix    (1999)
20, 8.7/10 ,Star Wars    (1977)
21, 8.7/10 ,City of God    (2002)
22, 8.6/10 ,Baahubali: The Beginning    (2015)
23, 8.6/10 ,It's a Wonderful Life    (1946)
24, 8.6/10 ,Interstellar    (2014)
25, 8.6/10 ,Se7en    (1995)
26, 8.6/10 ,The Usual Suspects    (1995)
27, 8.6/10 ,Life Is Beautiful    (1997)
28, 8.6/10 ,The Silence of the Lambs    (1991)
29, 8.6/10 ,Once Upon a Time in the West    (1968)
30, 8.6/10 ,Léon: The Professional    (1994)
31, 8.6/10 ,City Lights    (1931)
32, 8.6/10 ,Spirited Away    (2001)
33, 8.6/10 ,The Intouchables    (2011)
34, 8.6/10 ,Casablanca    (1942)
35, 8.6/10 ,Saving Private Ryan    (1998)
36, 8.6/10 ,American History X    (1998)
37, 8.6/10 ,Modern Times    (1936)
38, 8.5/10 ,Raiders of the Lost Ark    (1981)
39, 8.5/10 ,Psycho    (1960)
40, 8.5/10 ,Rear Window    (1954)
41, 8.5/10 ,The Green Mile    (1999)
42, 8.5/10 ,Whiplash    (2014)
43, 8.5/10 ,The Pianist    (2002)
44, 8.5/10 ,Terminator 2: Judgment Day    (1991)
45, 8.5/10 ,The Departed    (2006)
46, 8.5/10 ,Gladiator    (2000)
47, 8.5/10 ,Sholay    (1975)
48, 8.5/10 ,Back to the Future    (1985)
49, 8.5/10 ,Sunset Blvd.    (1950)
50, 8.5/10 ,Memento    (2000)
51, 8.5/10 ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb    (1964)
52, 8.5/10 ,The Prestige    (2006)
53, 8.5/10 ,Apocalypse Now    (1979)
54, 8.5/10 ,Cinema Paradiso    (1988)
55, 8.5/10 ,The Dark Knight Rises    (2012)
56, 8.5/10 ,The Great Dictator    (1940)
57, 8.5/10 ,The Lion King    (1994)
58, 8.5/10 ,The Lives of Others    (2006)
59, 8.5/10 ,Alien    (1979)
60, 8.5/10 ,Paths of Glory    (1957)
61, 8.5/10 ,Grave of the Fireflies    (1988)
62, 8.5/10 ,Django Unchained    (2012)
63, 8.5/10 ,Star Wars: The Force Awakens    (2015)
64, 8.4/10 ,3 Idiots    (2009)
65, 8.4/10 ,The Shining    (1980)
66, 8.4/10 ,Witness for the Prosecution    (1957)
67, 8.4/10 ,WALL·E    (2008)
68, 8.4/10 ,Princess Mononoke    (1997)
69, 8.4/10 ,Das Boot    (1981)
70, 8.4/10 ,M    (1931)
71, 8.4/10 ,American Beauty    (1999)
72, 8.4/10 ,Queen    (2014)
73, 8.4/10 ,Once Upon a Time in America    (1984)
74, 8.4/10 ,Aliens    (1986)
75, 8.4/10 ,Oldboy    (2003)
76, 8.4/10 ,Citizen Kane    (1941)
77, 8.4/10 ,North by Northwest    (1959)
78, 8.4/10 ,A Separation    (2011)
79, 8.4/10 ,Amélie    (2001)
80, 8.4/10 ,Vertigo    (1958)
81, 8.4/10 ,Double Indemnity    (1944)
82, 8.4/10 ,Star Wars: Episode VI - Return of the Jedi    (1983)
83, 8.4/10 ,Braveheart    (1995)
84, 8.4/10 ,Requiem for a Dream    (2000)
85, 8.4/10 ,To Kill a Mockingbird    (1962)
86, 8.4/10 ,Lawrence of Arabia    (1962)
87, 8.4/10 ,Sunrise    (1927)
88, 8.4/10 ,A Clockwork Orange    (1971)
89, 8.4/10 ,Reservoir Dogs    (1992)
90, 8.4/10 ,Toy Story 3    (2010)
91, 8.4/10 ,The Kid    (1921)
92, 8.4/10 ,Bicycle Thieves    (1948)
93, 8.4/10 ,Chakde! India    (2007)
94, 8.4/10 ,Eternal Sunshine of the Spotless Mind    (2004)
95, 8.4/10 ,Taxi Driver    (1976)
96, 8.3/10 ,Singin' in the Rain    (1952)
97, 8.3/10 ,Bhaag Milkha Bhaag    (2013)
98, 8.3/10 ,The Sting    (1973)
99, 8.3/10 ,Amadeus    (1984)
100, 8.3/10 ,All About Eve    (1950)
101, 8.3/10 ,Yojimbo    (1961)
102, 8.3/10 ,The Revenant    (2015)
103, 8.3/10 ,Gangs of Wasseypur    (2012)
104, 8.3/10 ,Rashomon    (1950)
105, 8.3/10 ,Inside Out    (2015)
106, 8.3/10 ,Full Metal Jacket    (1987)
107, 8.3/10 ,Monty Python and the Holy Grail    (1975)
108, 8.3/10 ,The Treasure of the Sierra Madre    (1948)
109, 8.3/10 ,2001: A Space Odyssey    (1968)
110, 8.3/10 ,The Apartment    (1960)
111, 8.3/10 ,Snatch.    (2000)
112, 8.3/10 ,Ikiru    (1952)
113, 8.3/10 ,Metropolis    (1927)
114, 8.3/10 ,Haider    (2014)
115, 8.3/10 ,For a Few Dollars More    (1965)
116, 8.3/10 ,The Third Man    (1949)
117, 8.3/10 ,Inglourious Basterds    (2009)
118, 8.3/10 ,Scarface    (1983)
119, 8.3/10 ,Toy Story    (1995)
120, 8.3/10 ,Some Like It Hot    (1959)
121, 8.3/10 ,L.A. Confidential    (1997)
122, 8.3/10 ,Swades    (2004)
123, 8.3/10 ,Batman Begins    (2005)
124, 8.3/10 ,The Hunt    (2012)
125, 8.3/10 ,Dilwale Dulhania Le Jayenge    (1995)
126, 8.3/10 ,PK    (2014)
127, 8.3/10 ,Indiana Jones and the Last Crusade    (1989)
128, 8.3/10 ,Unforgiven    (1992)
129, 8.3/10 ,Up    (2009)
130, 8.3/10 ,Mr. Smith Goes to Washington    (1939)
131, 8.3/10 ,Downfall    (2004)
132, 8.3/10 ,On the Waterfront    (1954)
133, 8.3/10 ,Raging Bull    (1980)
134, 8.3/10 ,Good Will Hunting    (1997)
135, 8.3/10 ,The Great Escape    (1963)
136, 8.3/10 ,Ran    (1985)
137, 8.3/10 ,The Gold Rush    (1925)
138, 8.3/10 ,The General    (1926)
139, 8.3/10 ,My Neighbor Totoro    (1988)
140, 8.3/10 ,Wild Strawberries    (1957)
141, 8.3/10 ,Chinatown    (1974)
142, 8.3/10 ,Judgment at Nuremberg    (1961)
143, 8.3/10 ,Heat    (1995)
144, 8.2/10 ,Kahaani    (2012)
145, 8.2/10 ,Die Hard    (1988)
146, 8.2/10 ,The Seventh Seal    (1957)
147, 8.2/10 ,The Secret in Their Eyes    (2009)
148, 8.2/10 ,Pan's Labyrinth    (2006)
149, 8.2/10 ,The Bridge on the River Kwai    (1957)
150, 8.2/10 ,Howl's Moving Castle    (2004)
151, 8.2/10 ,Blade Runner    (1982)
152, 8.2/10 ,Warrior    (2011)
153, 8.2/10 ,Incendies    (2010)
154, 8.2/10 ,The Wages of Fear    (1953)
155, 8.2/10 ,"Lock, Stock and Two Smoking Barrels    (1998)"
156, 8.2/10 ,The Wolf of Wall Street    (2013)
157, 8.2/10 ,The Elephant Man    (1980)
158, 8.2/10 ,V for Vendetta    (2005)
159, 8.2/10 ,Rebecca    (1940)
160, 8.2/10 ,Barfi!    (2012)
161, 8.2/10 ,It Happened One Night    (1934)
162, 8.2/10 ,Casino    (1995)
